店铺ID,店铺名称,同类排名,热度,种类编码,种类名称,收藏量,浏览量,附近商家数,人均消费,省份,城市,区域,地址,经度,维度,是否有团购,团购名称,团购价格
6601140092528494596,韩时烤肉(双安商场店),12,307607.0,11702,美食;日韩料理;韩国料理,28,39422.0,396.0,97,北京市,北京市,海淀区,北京市海淀区北三环西路38号双安商场5层(地铁人民大学C口出),116.320025,39.964965,1,韩时活动双人套餐,229.0
6601139968423233543,HAN JIMMY芝士铁板鸡(世茂工三店),13,298557.0,10701,美食;韩国料理;韩国料理,49776,23787639.0,1486.0,93,北京市,北京市,朝阳区,北京市朝阳区工人体育场北路13号院1号楼海隆石油工业集团北门106号(首开幸福广场南门对面),116.443097,39.934785,0,,
6601139565409339399,神路居烤肉馆,14,247147.0,10701,美食;韩国料理;韩国料理,954,720451.0,1650.0,104,北京市,北京市,朝阳区,北京市朝阳区工体南路7号,116.440202,39.923094,0,,
6601182950820153347,韩香馆Saveurs de Coree,15,244613.0,11702,美食;日韩料理;韩国料理,15725,9619310.0,1404.0,116,北京市,北京市,东城区,北京市东城区北京东直门北小街22号北京朗姆康百纳酒店二楼,116.419652,39.941672,0,,
6896223568355395584,猪掌柜韩国烤肉管庄分店,16,211202.0,11702,美食;日韩料理;韩国料理,3648,739467.0,178.0,100,北京市,北京市,朝阳区,北京市朝阳区管庄乡东街49号,116.586345,39.915574,0,,
6601145584759867406,韩时烤肉(悠唐店),17,178483.0,11702,美食;日韩料理;韩国料理,693,14604306.0,1691.0,90,北京市,北京市,朝阳区,北京市朝阳区朝外市场街三丰北里2号楼5层510号,116.433679,39.920409,1,韩时活动双人套餐,229.0
6601191432139048968,北京昌平区北七家,18,173419.0,11702,美食;日韩料理;韩国料理,23,1246107.0,29.0,0,北京市,北京市,昌平区,北京市昌平区北清路1期,116.41913,40.104949,0,,
6874499492079568911,肉味相投·韩式烤肉,19,118939.0,10701,美食;韩国料理;韩国料理,1353,450071.0,1608.0,121,北京市,北京市,朝阳区,北京市朝阳区金汇路中骏世界城E座3层,116.446175,39.916413,1,品质双人餐,238.0
6772385537467697160,七八冷面(圣熙八号店),20,92715.0,10701,美食;韩国料理;韩国料理,380,164059.0,296.0,65,北京市,北京市,海淀区,北京市海淀区学清路甲8号东侧一楼,116.348986,40.007328,1,延边特色双人餐,89.0
6751611308627478532,拌度,21,90693.0,11702,美食;日韩料理;韩国料理,5720,945621.0,108.0,45,北京市,北京市,顺义区,北京市顺义区站前北街78号1号F1-8,116.641269,40.13011,0,,
6601135797921908750,韩时烤肉(望京华彩商业中心店),22,79720.0,11702,美食;日韩料理;韩国料理,18,34242.0,331.0,95,北京市,北京市,朝阳区,北京市朝阳区广顺北大街16号望京华彩商业中心4层(家乐福楼上),116.462979,40.009625,1,韩时活动双人套餐,229.0
6601141479496747016,包装马车(东源大厦店),23,79691.0,11702,美食;日韩料理;韩国料理,8384,4634247.0,331.0,85,北京市,北京市,海淀区,北京市海淀区成府路35号东源大厦三楼,116.330329,39.991861,0,,
6601130063419164676,首尔798韩国料理地区(五道口东源店),24,75064.0,11702,美食;日韩料理;韩国料理,10969,9668226.0,331.0,91,北京市,北京市,海淀区,北京市海淀区成府路35号东源大厦3层,116.330255,39.991849,1,双人肋排的甜蜜时光,199.0
6941586790528649219,美都波·五花肉·八爪鱼(望京店),25,71755.0,11702,美食;日韩料理;韩国料理,128,16867.0,441.0,117,北京市,北京市,朝阳区,北京市朝阳区湖光中街港旅大厦B1层,116.458366,39.995299,1,[美都波韩国料理]109元抢双人套餐,109.0
6887929903887632399,权金城(延庆万达店),26,55367.0,10701,美食;韩国料理;韩国料理,340,232947.0,31.0,103,北京市,北京市,延庆区,北京市延庆区庆园街万达广场4层4003,115.978455,40.473499,1,烤肉界的劳斯莱斯！仅218元享门市价438元权金城烤肉四人餐，免预约!,218.0
6877873339541489672,幸福食堂韩式料理,27,50619.0,10701,美食;韩国料理;韩国料理,4609,775974.0,1189.0,79,北京市,北京市,朝阳区,北京市朝阳区广渠路优士阁大厦B座一层南侧底商105号,116.453316,39.891432,1,火辣辣牛肠锅套餐,128.0
6601149935649818638,韩时烤肉(小营店),28,46793.0,11702,美食;日韩料理;韩国料理,7,90174.0,466.0,101,北京市,北京市,朝阳区,北京市朝阳区小营东路甲5号楼1层(北京联合大学北门),116.422103,39.992552,1,韩时活动双人套餐,229.0
6601141023647205383,釜田家果木烤肉,29,43284.0,10701,美食;韩国料理;韩国料理,17,177854.0,57.0,129,北京市,北京市,密云区,北京市密云区新中街151号英伦国际歌厅楼下,116.844684,40.371272,0,,
6601139460782426126,爱江山(西四环店),30,40804.0,11702,美食;日韩料理;韩国料理,91,249471.0,254.0,402,北京市,北京市,海淀区,北京市海淀区正福寺2号板井路网球场内(板井路),116.279924,39.946781,0,,
